text,outcome,stage
"dạo này đi bộ một chút là bắp chân đau cứng lại, nghỉ một tí mới đi tiếp được",1,3
"Tôi thấy mệt mỏi và không còn chút sức lực nào. Ban ngày tôi khó mở mắt nổi, cảm giác li bì và không có động lực làm gì",0,0
"Tôi bị phát ban ở chân gây ngứa ngáy và khó chịu. Nó đỏ, viêm và có vẻ đang lan rộng",0,0
"Gần đây, bắp chân tôi thường xuyên bị chuột rút, nhất là khi đi bộ hoặc đứng lâu. Ngoài ra, các tĩnh mạch cũng rất dễ thấy",0,0
"Tôi thấy có những vết bầm tím trên chân mà không rõ lý do. Chúng không đau nhưng làm tôi lo ngại",0,0
"Gần đây tôi rất hay thèm đồ ngọt, nhất là sau bữa ăn.",1,1
"Một vết đứt tay nhỏ mà mãi không cầm máu được.",1,3
"hoàn toàn khỏe mạnh",0,0
"Tôi đi tiểu liên tục, nước tiểu có vẻ hơi dính.",1,2
"Chỉ là ho có đờm và hơi sốt.",0,0
"tôi thấy hơi thở có mùi ngọt lạ, giống mùi trái cây",1,3
"Tôi bị ho khan không dứt. Tôi bị đánh trống ngực và các nhiễm trùng có vẻ không lành. Đôi khi họng tôi đau, nhưng có vẻ sẽ đỡ hơn",1,3
"Tôi đang uống nhiều nước hơn và đi tiểu thường xuyên hơn. Họng và miệng thường xuyên thấy khô. Gần đây, cả cơn đói và sự thèm ăn của tôi đều tăng",1,1
"tôi bị đau lưng dưới và đau khớp gối",0,0
"dù ăn rất nhiều nhưng ăn xong lại thấy đói ngay",1,2
"chỉ hơi chóng mặt khi thay đổi tư thế",0,0
"tôi để ý thấy kiến hay tập trung ở chỗ tôi đi tiểu",1,2
"dạo này nước tiểu của tôi có rất nhiều bọt",1,3
"Tôi thường xuyên cảm thấy muốn đi tiểu và có những cơn thèm tiểu dữ dội. Tôi hay bị lơ mơ và mất phương hướng. Tôi cũng bị giảm thị lực đáng kể",1,3
"Đường chính về nhà tôi ngập nuóc",0,0
"Tôi gặp vấn đề về thở, đặc biệt khi ở ngoài trời. Tôi bắt đầu thấy nóng và đổ mồ hôi. Tôi thường xuyên bị nhiễm trùng đường tiết niệu và nấm men",1,3
"dạo này hay đi tiểu nhiều, uống nước liên tục mà vẫn khát",1,2
"da bị khô và mấy vết ngứa rất lâu khỏi",1,3
"Vết thương của tôi đang lành chậm hơn và tốc độ chậm hơn. Tay và chân tôi vừa tê vừa có cảm giác châm chích cùng lúc",1,3
"Tôi bị ù tai bên trái, nghe không rõ lắm",0,0
"tôi phải dậy đi tiểu đêm 3 4 lần",1,2
"tối hay bị khác nucow, đâu đauaf và chóng mặt, muốn uống thật nhiều nước nhưng vẫn cảm thấy khát",1,2
"đây là bí quyết gia truyền ngọt ngào của gia đình",0,0
"tôi thấy đau đầu và chóng mặt",0,0
"Tôi ghéc việc đi ngoài, vì nó làm tôi mệt mỏi và kiệt sức. Tôi bị đâu bụng nhiều ngày rồi vì hôm trước tôi ăn đồ ăn bẩn",0,0
"Đường phèng màu đen",0,0
"Tôi thíc ra ngoài đường, đi dạo, đi chơi",0,0
"Ăn nhiều đồ ngọt làm người tôi hơi mệt mỏi, rất khác nước, tôi rất muốn uoongs nước",1,1
"Tôi ăn nhiều hơn bình thường nhưng vẫn tụt 3kg tháng này.",1,2
"Da tôi bị nổi mề đay, ngứa từng mảng",0,0
"Tôi tình cờ bị  bỏng nhẹ, nhưng không hiểu vì sao rất lâu rồi mà vết thương vãn chưa khỏi hẵn.",1,2
"Dù ăn rất nhiều, tôi vẫn thấy đói.",1,2
"tôi bị đau dạ dày và ợ nóng.",0,0
"Tôi bị ho khan mãn tính. Tôi bị đánh trống ngực và các nhiễm trùng có vẻ không thuyên giảm. Tôi cũng bị đau họng, mặc dù nó có vẻ sẽ hết",1,3
"Cả lượng nước uống vào và tần suất đi tiểu của tôi đều tăng. Miệng và họng thường xuyên khô. Cơn đói và sự thèm ăn đều tăng gần đây",1,1
"tôi bị đau họng và ho khan",0,0
"Hai bàn chân của tôi mất cảm giác, cứ tê bì.",1,3
"Chân sưng khiến tôi khó xỏ vừa giày. Tôi không thể chạy nhanh hay đứng lâu. Tôi có thể thấy vài mạch máu bị sưng phồng",0,0
"Tôi nhận thấy chuột rút ở bắp chân ngày càng thường xuyên và dữ dội hơn. Nó gây rất nhiều khó chịu. Tôi cũng bị thừa cân và chân bắt đầu sưng",0,0
"Các tĩnh mạch ở chân gây rất nhiều khó chịu khi tôi ngồi lâu",0,0
"Vết phát ban trên chân tôi đang lan rộng và trở nên nghiêm trọng hơn. Tôi thấy rất khó để chạy bộ",0,0
"dạo này ăn không tiêu và hay bị ợ chua",0,0
"hay bị mờ mắt và cảm thấy tê tê ở đầu ngón tay",1,3
"Tôi bị mờ mắt và tình trạng dường như ngày càng tệ hơn. Tôi kiệt sức và mệt mỏi mọi lúc. Đôi khi tôi cũng thấy rất chóng mặt và choáng váng",1,2
"ăn cơm với đường rất ngon",0,0
"Tôi bị khô miệng và họng. Tôi cũng cảm thấy thèm ăn và đói nhiều hơn. Tuy nhiên, đôi khi tôi cảm thấy rất mệt mỏi",1,1
"Tôi muốn ăn cơm với đường",0,0
"Các vết thương và vết cắt của tôi rất lâu lành. Tôi có cảm giác châm chích ở tay và tê bì ở cả hai bàn tay và bàn chân",1,3
"Tôi thấy chán ăn và ăn không ngon miệng.",0,0
"Tôi bị phát ban và kích ứng da, đặc biệt là ở các nếp gấp da. Các vết cắt và vết bầm tím trên da cũng lành rất chậm",1,3
"Tôi thường xuyên buồn tiểu và có những cơn buồn tiểu không kiểm soát được. Tôi cảm thấy chóng mặt và thường xuyên lú lẫn. Tôi cũng bị giảm thị lực",1,3
"bị sốt và đau họng",0,0
"tôi bị sụt cân nhanh dù ăn rất nhiều và không kiêng dè",1,2
"đau mỏi vai gáy do ngồi văn phòng",0,0
"Tôi mất cảm giác ngon miệng và dường như không ăn được gì. Tôi lo cho sức khỏe của mình",0,0
"Có những đốm đỏ nhỏ khắp người tôi mà không rõ tại sao. Thật đáng lo. Tôi thấy cực kỳ mệt và bị sốt nhẹ mỗi đêm",0,0
"tôi bị đau đầu và sổ mũi, có vẻ như bị cảm",0,0
"gần đây tôi bị mất ngủ, đêm hay trằn trọc",0,0
"thường xuyên cảm thấy khô miệng và phải uống nước liên tục",1,2
"tôi cảm thấy buồn ngủ và mệt nhẹ vào buổi chiều",1,1
"Tôi bị ho khan dai dẳng. Các vết nhiễm trùng có vẻ không lành và tôi bị đánh trống ngực. Tôi cũng bị đau họng mãi không khỏi",1,3
"Dạo này tôi bị stress công việc nên hay cáu gắt."",0,0
"Tôi thèm hủ tiếu, bún riêu",0,0
"Phân lỏng, nhiều nước và có mùi hôi, đi kèm với đau bụng. Tôi cảm thấy muốn nôn hầu hết thời gian",0,0
"Tôi bị sốt cao vài ngày qua không rõ nguyên nhân. Tôi cũng thấy phát ban trên da và rất khó để không gãi",0,0
"vết thương tôi lâu rồi chưa lành",1,3
"khát nước kinh khủng, nhất là vào ban đêm",1,2
"Tôi ho khan không ngừng. Tôi bị đánh trống ngực và các nhiễm trùng có vẻ không thuyên giảm. Đôi khi họng tôi đau nhưng có vẻ đỡ hơn",1,3
"tôi cảm thấy người yếu, dễ hoa mắt khi đứng dậy",0,0
"Tôi đang phải chịu đựng cơn ngứa dữ dội, nôn mửa, mệt mỏi và sụt cân. Tôi sốt cao và da đã chuyển vàng. Nước tiểu sẫm màu và tôi bị đau bụng",0,0
"Tê tay và chân, cảm giác kim châm",1,3
"Tôi bị phát ban và kích ứng da, đặc biệt ở các kẽ da. Các vết bầm và vết cắt trên da cũng mất nhiều thời gian để lành",1,3
"Chỉ bị sổ mũi và nghẹt mũi thôi."",0,0
"Toàn thân tôi đang run rẩy. Tôi bị mất khả năng nếm và ngửi, và tôi kiệt sức. Đôi khi tôi bị tim đập nhanh hoặc đánh trống ngực",1,2
"Tôi thèm mì cây"
"Tôi bị kích ứng da và phát ban, đặc biệt là ở các kẽ da. Các vết cắt và vết bầm trên da cũng mất một lúc mới lành",1,3
"nước tiểu của tôi có kiến bâu vào, tôi thấy hơi lạ",1,2
"Gần đây tôi hay mệt sau bữa trưa, phải nghỉ mới tỉnh",1,1
"Do các vùng da khô và bong tróc, tôi rất dễ bị nhiễm trùng. Các khớp xương đau dữ dội. Da ở đầu gối và khuỷu tay bắt đầu bong ra",0,0
"Tôi bị phát ban ở chân gây rất nhiều khó chịu. Có vẻ như bị chuột rút và tôi thấy các tĩnh mạch nổi rõ trên bắp chân. Gần đây tôi cũng thấy rất mệt mỏi",0,0
"Tôi cảm thấy hơi khát sau bữa ăn ngọt, không quá nhiều",1,1
"tôi cảm thấy bình thường, không có dấu hiệu gì lạ",0,0
"tôi hay đau đầu nhẹ vào buổi sáng",0,0
"da tôi bị khô và bong tróc, đặc biệt là ở cẳng chân",1,3
"Tôi bị khó thở, đặc biệt là khi vận động thể chất. Tôi bị đổ mồ hôi và bốc hỏa bất thường. Tôi thường xuyên bị nhiễm nấm men",1,3
"hay bị khát nước, đặc biệt là vào ban đêm",1,2
"dạo này tôi khát nước liên tục, uống xong lại khát nữa",1,2
"Tôi thường xuyên có cảm giác muốn đi tiểu và những cơn buồn tiểu mạnh. Tôi hay bị say xẩm và mất phương hướng. Hơn nữa, tôi bị giảm thị lực đáng kể",1,3
"Tôi thèm ăn trái cây",0,0
"Tôi thèm ăn đồ ngọt",0,0
"Tôi gặp vấn đề về hô hấp, đặc biệt là khi ra ngoài. Đột nhiên tôi bị bốc hỏa và đổ mồ hôi. Tôi thường xuyên bị nhiễm trùng đường tiết niệu và nhiễm nấm men",1,3
tôi hay bị chuột rút về đêm và cảm giác yếu ở chân,1,3
"tôi phải rặn một lúc mới tiểu được, và dòng tiểu rất yếu",0,0
"Da tôi chuyển từ ít nhạy cảm sang nhạy cảm hơn. Có một lớp vảy màu bạc trên da, đặc biệt là ở lưng, khuỷu tay và đầu gối",0,0
"Móng tay tôi hơi bị lõm xuống. Thậm chí các khớp xương của tôi giờ đây cũng đau đớn dữ dội. Da tôi có lớp vảy như bạc, nhất là ở lưng và khuỷu tay",0,0
"thỉnh thoảng cảm sốt, sổ mũi, mệt mỏi",0,0
"tôi thấy nước tiểu nổi bọt, giống như xà phòng và rất lâu tan",1,3
"Tôi bị nhiệt độ cao, nôn mửa, ớn lạnh và ngứa ngáy. Tôi cũng bị đau đầu và toát mồ hôi nhiều. Tôi thấy buồn nôn và cơ bắp đau nhức nhiều",0,0
"Tôi hay đói, ăn nhiều nhưng vẫn sụt kí",1,2
"Tôi đói",0,0
"Tôi khát nước",0,0
"Buổi chiều tôi hay ngáp và muốn uống nước",1,1
"nước tiểu có bọt bất thường, dù tôi không tiểu mạnh",1,3
"Tôi bị nôn thường xuyên và kết quả là mất cảm giác ngon miệng. Các khớp và lưng tôi lúc nào cũng đau",0,0
"Sau bữa ăn tôi thấy buồn ngủ và không tập trung nổi.",1,1
"Tôi bị đau đầu dai dẳng cả tuần nay và ngày càng nặng hơn. Nó đi kèm với đau bụng, táo bón và tiêu chảy",0,0
"Tôi bị sốt cao kèm đau đầu dữ dội và đau nhức toàn thân. Tôi bị ớn lạnh mỗi đêm. Cũng có cơn đau rõ rệt phía sau hốc mắt",0,0
"Tôi cảm thấy cực kỳ mệt mỏi và kiệt sức, không còn năng lượng làm gì cả. Tôi bị nổi ban ở cổ, chạm vào thấy ngứa",0,0
"nước tiểu của tôi có màu vàng đậm, dù tôi uống khá nhiều nước",0,0
"tôi thấy mắt mờ, nhìn chữ nhỏ không rõ như trước",1,3
"Tôi bị nổi mẩn đỏ ở tay, có vẻ là dị ứng.",0,0
"Tôi bị ngứa, nôn mửa, mệt mỏi và sụt cân. Tôi bị sốt cao và da chuyển sang màu vàng. Nước tiểu sẫm màu và tôi bị đau bụng",0,0
"Tôi bị sụt cân và cảm thấy buồn nôn, ngứa ngáy và kiệt sức. Da tôi trở nên vàng vọt, và tôi sốt rất cao. Nước tiểu màu tối, và tôi bị đau dạ dày",0,0
"cổ bị lên mụn đỏ và ngứa",0,0
"đau lưng dưới và đau khớp gối",0,0
"Tôi bị ngứa dữ dội, ớn lạnh, nôn mửa và sốt cao. Tôi cũng đổ mồ hôi rất nhiều và bị đau đầu. Tôi cảm thấy buồn nôn và cơ bắp rất đau nhức",0,0
"Tôi bị sốt cao, nôn mửa, ớn lạnh và ngứa dữ dội. Tôi cũng bị đau đầu và đổ mồ hôi nhiều. Tôi thấy nôn nao, và cơ bắp đau lắm",0,0
"Họng và miệng tôi bị khô. Tôi cũng cảm thấy ngày càng đói hơn. Nhưng đôi khi tôi cảm thấy khá kiệt sức",1,1
"Tôi thấy khỏe, không có vấn đề gì.",0,0
"dạo này tôi bị tụt cân nhiều dù ăn uống bình thường",1,2
"Tôi bắt đầu nổi ban ở cánh tay và cổ. Vết ban thường chảy máu và đau khi tôi gãi. Móng tay tôi cũng xuất hiện các vết lõm nhỏ rất lạ",0,0
"Buổi chiều tôi rất dễ buồn ngủ và hay thèm đồ ngọt",1,1
"Buổi sáng dậy miệng hơi khô, uống nước mới thấy dễ chịu.",0,0
"Chuột rút ở bắp chân khiến tôi khó đi lại. Tôi thấy kiệt sức sau khi làm việc một lúc. Tôi nghĩ béo phì là nguyên nhân",0,0
"Tôi hay đói, ăn nhiều nhưng vẫn sụt cân",1,2
"tôi khỏe mạnh, không bị gì",0,0
"tôi ổn, không sao",0,0
"dạo này tôi bị đau lưng vùng thắt lưng, cơn đau lan ra hông",0,0
tôi thấy buốt khi đi vệ sinh và nước tiểu có vẻ bị đục,0,0
"Tầm nhìn của tôi bị sương mù và có vẻ đang tệ đi. Tôi cảm thấy kiệt sức mọi lúc. Tôi cũng bị chóng mặt và choáng váng dữ dội đôi khi",1,2
"Họng và miệng tôi bị khô. Tôi cũng ngày càng trở nên đói bụng hơn. Tuy nhiên, tôi có cảm thấy khá kiệt sức đôi chút",1,1
"cơ thể tôi không có gì khác",0,0
"Da ở cổ tay tôi bị sạm và khô hơn hẳn so với trước",1,3  
"Thỉnh thoảng tôi cảm thấy ngứa ran ở lòng bàn chân",1,3
"nước tiểu của tôi có màu vàng sậm và mùi rất nồng, khác hẳn bình thường",0,0
"cảm thấy mót tiểu liên tục nhưng mỗi lần đi rất ít, không thoải mái",0,0
"Chân tôi có vết bầm tím không rõ nguyên nhân. Tôi thấy các mạch máu lạ dưới da. Tôi cũng hơi thừa cân và thấy rất lo",0,0
"gần đây tui thường ngáp vặt và cảm thấy lười vận động",1,1
"đau đầu vào buổi chiều",0,0
"cảm thấy vết thương lành chậm hơn trước",1,2
"tui ổn, không bị sao",0,0
"tôi thấy nước tiểu màu vàng sậm và có mùi khai nồng",0,0
"Vết thương của tôi hồi phục chậm hơn vào lúc này. Cả hai bàn tay và bàn chân tôi đang châm chích và trở nên tê bì. Tôi cảm thấy rất yếu",1,3
"Tôi bị đau đầu dữ dội kèm theo đau phía sau mắt. Tôi mất cảm giác ngon miệng và bị ớn lạnh mỗi đêm",0,0
"Cảm xúc tôi thay đổi, và tôi gặp khó khăn khi tập trung. Đôi khi tâm trí tôi có thể bị mờ mịt, khiến tôi khó làm cả những việc đơn giản",1,2
"Tôi bị tê bì ngón tay và cảm giác như kiến bò",1,3
"Thở ra có mùi hơi ngọt, mọi người cũng nhận ra",1,3
"Tôi khó ngủ vì cơn đau và ngứa do phát ban. Da ở ngón tay tôi bắt đầu bong tróc. Móng tay có vài vết nứt nhỏ làm tôi rất lo",0,0
"Các khớp của tôi có cảm giác khó chịu bất thường. Thêm vào đó, da tôi bị bong tróc kỳ lạ ở nhiều nơi. Tôi lo là cơ thể mình có vấn đề",0,0
"Tôi phải đi tiểu gần   như mỗi giờ dù không uống nhiều nước",1,2
"Tôi bị sốt cao, đặc biệt là về đêm. Rất khó chịu. Tôi còn bị đau đầu nhẹ cùng với táo bón và tiêu chảy",0,0
"khỏe mạnh và không khát nước bất thường",0,0
"cảm thấy bình thường, không có dấu hiệu gì lạ",0,0
"đêm nào cũng lục đục dậy đi toilet 3-4 bận, chả ngủ nghê được gì, rất mệt",1,2
"tui khỏe mạnh, không có gì bất thường",0,0
"tăng cân mất kiểm soát",1,2
"Đứng hoặc đi bộ lâu làm chân tôi rất đau. Tôi bị chuột rút khi vận động thể chất. Trên chân cũng có các vết bầm tím",0,0
"kiến bu vào nước tiểu của tôi",1,2
"nước tiểu đục màu, khó tiểu",0,0
"Tôi thường xuyên phải đi vệ sinh giữa đêm, rất mệt mỏi",1,2
"Dù ăn uống bình thường nhưng vẫn thấy yếu và hay đói.",1,2
"tê rần chân, tay khi ngủ",1,2
"tê rần chân, tay khi về đêm",1,2
"tui ăn như hạm đội, mỗi lần 4-5 bát cơm mà cái quần này càng lúc càng rộng",1,2
"Trong tuần qua, vết phát ban trên mặt tôi trở nên nghiêm trọng và đau đớn hơn, các vết loét bắt đầu chảy dịch màu vàng. Nó ngày càng đau hơn mỗi ngày",0,0
"cân nặng của tôi tăng bất thường",1,1
"tôi bình thường, chỉ hơi buồn ngủ",0,0
"tui khỏe mạnh, không có triệu chứng gì",0,0
"Tầm nhìn của tôi bị sương mù và dường như đang tệ đi. Tôi liên tục cảm thấy kiệt sức. Ngoài ra, thỉnh thoảng tôi bị choáng váng và chóng mặt dữ dội",1,2
"nước tiểu có màu cam đậm vào buổi sáng",0,0
"Sau khi ăn tôi thường buồn ngủ và thấy nặng người",1,1
"Vùng da quanh các tĩnh mạch ở chân bị đỏ và viêm. Tôi nghĩ mình nhìn thấy vài mạch máu bị sưng. Tôi thực sự lo lắng",0,0
"tôi hay đi ngoài đường hóng mát cho khuây khỏa",0,0
"Hoàn toàn bình thường, chỉ đi khám tổng quát.",0,0
"Tay chân tôi hay bị tê bì và ngứa ran",1,3
"Tôi thay đổi tâm trạng và khó tập trung. Tâm trí tôi cảm thấy mơ hồ và lơ mơ, đôi khi rất khó để làm cả những việc vặt thông thường",1,2
"Tôi có cảm giác run rẩy và co giật cơ bắp. Khứu giác hoặc vị giác bị giảm và tôi thấy kiệt sức. Đôi khi tôi cảm thấy tim đập nhanh hoặc đánh trống ngực",1,2
"Buổi sáng tôi dậy thấy miệng khô và lưỡi dính lại",1,1
"Tôi bị phát ban trên mặt. Tôi đang bị nổi những vết loét nhỏ quanh mũi, và dịch lỏng màu vàng thường xuyên rỉ ra từ đó. Các vết thương trở nên đau đớn hơn",0,0
"tôi ăn uống rất đầy đủ, thậm chí ăn nhiều mà cân nặng vẫn giảm vù vù",1,2
"Tôi đang sụt cân và bị ngứa dữ dội, buồn nôn và kiệt sức. Da tôi chuyển vàng, và tôi sốt cao. Nước tiểu sẫm màu, và tôi bị đau dạ dày",0,0
"dạo này tôi bị lên kg, dù ít ăn",1,1
"đi tiểu trên 10 lần/ngày",1,2
"nước tiểu của tôi vàng nhạt, có kiến bu",1,2
"Tôi hay thèm ăn ngọt và cảm thấy khô cổ",1,1
"Cảm xúc tôi dao động, và tôi khó tập trung. Tâm trí tôi có thể bị sương mù, khiến tôi khó thực hiện cả những việc vặt đơn giản",1,2
"Tôi run rẩy khắp người. Tôi mất khứu giác và vị giác, và tôi kiệt sức. Đôi khi tôi bị đánh trống ngực hoặc tim đập nhanh",1,2
"Đặc biệt ở các kẽ da, tôi bị phát ban và kích ứng da. Các vết bầm và vết cắt trên da cũng mất một lúc mới lành",1,3
"Tôi hay đói, ăn nhiều nhưng vẫn tụt kg",1,2
"Tôi bị thừa cân và nhận thấy chân bị sưng, các mạch máu lộ rõ. Chân tôi sưng lên và tôi thấy một dòng tĩnh mạch sưng phồng ở bắp chân",0,0
"Các tĩnh mạch ở bắp chân tôi nổi lên rất rõ và gây khó chịu. Tôi không thể đứng lâu vì chân bị đau, cảm giác giống như bị chuột rút",0,0
"tôi không có triệu chứng gì đặc biệt cả",0,0
"tôi cảm thấy mệt mỏi và hay ngáp vặt dù ngủ đủ",1,1
"Vùng da quanh tĩnh mạch chân tôi nhìn rất lạ. Có vẻ như có một vết bầm lớn. Dạo này tôi hay bị chuột rút khi chạy",0,0
"Tôi bị chuột rút quá nhiều trong vài ngày qua. Tôi nghĩ có gì đó không ổn. Hình như có vết bầm nhỏ ở bắp chân nhưng tôi không chắc lắm",0,0
"tôi rất thích ăn đồ ngọt và các loại bánh kẹo",0,0
"không có cảm giác khô miệng hay họng",0,0
"Tôi bị ớn lạnh và sốt, kèm theo đau bụng dữ dội. Nhìn chung tôi cảm thấy rất khổ sở và không thể thoát khỏi các triệu chứng này",0,0
"Tôi gặp khó khăn trong việc giữ nước cho cơ thể do nôn mửa và tiêu chảy. Tôi bị sốt nhẹ cùng với táo bón và đau đầu",0,0
"Ăn xong một lúc là thấy mệt rũ người",0,0
"muốn uống nước liên tục, đặc biệt là sau khi ăn",1,1
"hay bị nhiễm trùng nấm ở vùng kín",1,2
"dễ nổi mụn nhọt ở lưng",1,1
"cảm giác như đang dẫm lên bông gòn, chân không thật chút nào",1,3
"Cùng với ngứa toàn thân dữ dội, ớn lạnh và buồn nôn. Tôi bị đổ mồ hôi nghiêm trọng và sốt rất cao. Tôi thấy nôn nao và cũng bị đau đầu. Cơ bắp tôi thực sự rất đau",0,0
"Tôi bị sốt cao, nôn mửa, ớn lạnh và ngứa dữ dội. Ngoài ra, tôi đổ mồ hôi nhiều và bị đau đầu. Tôi cũng bị khó chịu bởi buồn nôn và đau nhức cơ",0,0
"thèm đồ uống có ga và cảm thấy khát nước",1,1
"tôi ổn, không bị gì lạ",0,0
"đi vệ sinh nhiều hơn bình thường",1,1
"cơ thể tôi không có gì lạ",0,0
"Tôi bị sụt cân nhiều trong tuần qua vì không ăn được do buồn nôn và nôn. Tiếp đó là sốt nhẹ, đau đầu và đau bụng. Tôi rất lo cho sức khỏe",0,0
"Sự mệt mỏi làm tôi rất khó chịu, tôi gặp khó khăn khi làm các việc thường ngày. Tôi cũng thấy chán nản và hay cáu gắt. Bụng cũng đau âm ỉ",0,0
"không cảm thấy mệt mỏi sau bữa ăn",0,0
"không cảm thấy khát nước bất thường",0,0
"không cảm thấy đói bất thường",0,0
"thỉnh thoảng đi tiểu ban đêm 1–2 lần",0,0
"xuất hiện triệu chứng suy thận và đau lưng dưới",1,3
"Tình trạng sưng ở chân tôi tệ hơn trong vài tuần qua. Giờ đây, rất nhiều tĩnh mạch nổi rõ trên bắp chân làm tôi lo lắng",0,0
"Các tĩnh mạch trên chân tôi rất dễ thấy và gây khó chịu. Có vẻ như có một vết bầm lớn và tôi bị chuột rút khi chạy",0,0
